word,translatedText
gaiety,gaiety
gaily,gaily
gainful,riba
gainfully,riba
galore,kamar haka
geekier,geekier
geeky,geeky
gem,dutse mai daraja
gems,duwatsu masu daraja
generosity,karimci
generously,karimci
genius,baiwa
gentle,m
gentlest,mai ladabi
genuine,gaske
gifted,kyauta
gladden,farin ciki
gladly,da farin ciki
gladness,murna
gleefully,cikin farin ciki
glimmer,annuri
glimmering,kyalkyali
glisten,annuri
glistening,kyalkyali
glitter,kyalkyali
glitz,glitz
glorify,daukaka
gloriously,ɗaukaka
glow,haske
glowing,haske
glowingly,da annashuwa
god-given,allah-ya bashi
god-send,allah-aika
godlike,mai kama da allah
gold,zinariya
golden,zinariya
goodly,da kyau
goodwill,fatan alheri
goood,goood
gooood,kyau
gorgeous,na kwazazzabo
gorgeously,kwazazzabo
graceful,na alheri
gracefully,da alheri
graciously,da alheri
graciousness,alheri
grandeur,girma
gratefully,godiya
gratified,gratified
gratifies,abubuwan farin ciki
gratify,yarda
gratifying,mai ban sha'awa
gratifyingly,gratifyingly
gratitude,godiya
greatness,girma
grin,murmushi
groundbreaking,fasa ƙasa
guidance,shiriya
guiltless,mara laifi
gumption,hauhawa
gush,gush
gusto,farin ciki
gutsy,gutsy
halcyon,halcyon
hale,hale
hallmark,alama
hallmarks,alamomi
hallowed,tsarkake
handier,Handier
handily,hannu
hands-down,hannaye-saukar
handsome,kyakkyawa
handsomely,kyakkyawa
handy,m
happier,farin ciki
happily,cikin farin ciki
hard-working,mai aiki tukuru
harmless,m
harmonious,jitu
harmoniously,jituwa
harmonize,daidaita
harmony,jituwa
headway,kan hanya
heal,warkar
healthful,mai lafiya
hearten,zuciya
heartening,mai ban sha'awa
heartily,da zuciya
heartwarming,mai sanyaya zuciya
helped,taimaka
heroically,gwarzo
heroine,jaruma
heroize,jaruntaka
heros,heros
high-quality,mai inganci
high-spirited,mai-ruhi
holy,mai tsarki
homage,girmamawa
honesty,gaskiya
honorable,mai daraja
hooray,hooray
hospitable,m
hot,zafi
hotcake,hotcake
hotcakes,hotkakes
hottest,mafi zafi
humane,mutumtaka
humble,mai tawali'u
humility,tawali'u
humorously,cikin raha
ideal,manufa
idealize,daidaita
ideally,fi dacewa
idol,gunki
idolize,shirka
idolized,shirka
idyllic,idyllic
illuminate,haskaka
illuminati,illuminati
illuminating,mai haskakawa
illumine,rashin lafiya
illustrious,mai haske
ilu,ilu
imaculate,kwaikwayon
imaginative,mai hasashe
immaculate,m
immaculately,immaculately
immense,babba
impartial,rashin son kai
impartiality,rashin son kai
impartially,rashin nuna bambanci
impassioned,m
impeccable,impeccable
impeccably,impeccably
impressively,burgewa
impressiveness,burgewa
improvements,inganta
incredible,m
incredibly,mai wuce yarda
indebted,bashi
individualized,keɓaɓɓe
indulgence,sha'awa
indulgent,mai yawan sha'awa
industrious,mai ƙwazo
inestimable,inestimable
inestimably,inestimably
inexpensive,m
infallibility,rashin kuskure
infallible,ma'asumi
infallibly,ma'asumi
ingenious,wayo
ingeniously,cikin dabara
ingenuity,dabara
ingenuous,wayo
ingenuously,cikin dabara
innocuous,mara laifi
inpressed,shigarwa
insightful,mai hankali
insightfully,basira
instantly,nan take
instructive,mai koyarwa
instrumental,kayan aiki
integral,na game
integrated,hadedde
intelligence,hankali
intelligible,fahimta
intimacy,kusanci
intimate,m
intrigue,makirci
intriguing,m
intriguingly,mai ban sha'awa
intuitive,ilhama
invaluable,m
invaluablely,invaluablely
inventive,inventive
invigorate,kuzari
invigorating,kuzari
invincibility,rashin nasara
inviolable,mara iyaka
inviolate,hana aiki
irreplaceable,ba za'a iya maye gurbinsu ba
irreproachable,wanda ba a iya sanshi ba
irresistibly,mara hanawa
issue-free,ba matsala
jaw-droping,jaw-jaw
jaw-dropping,jaw-faduwa
jollify,santala
joyously,cikin farin ciki
jubilantly,jubilantly
jubilate,jubilate
jubilation,jubilation
jubiliant,jubiliant
judicious,mai hankali
justly,dai dai
keenly,a hankali
keenness,son kai
kid-friendly,yaro-m
kindliness,kirki
kindly,mai kirki
kindness,alheri
knowledgeable,ilmi
large-capacity,manyan-damar
laud,yabo
laudable,abin yabo
laudably,laudably
lavish,lavish
lavishly,lavishly
law-abiding,bin doka
lawful,halal
lawfully,ta halal
lead,jagoranci
leading,jagora
leads,take kaiwa
lean,durƙusa
led,jagoranci
legendary,almara
leverage,yin amfani
levity,levity
liberate,yantu
liberation,'yanci
liberty,yanci
light-hearted,mai haske
lighter,wuta
likable,wanda ake so
liking,so
lionhearted,mai zuciyar zuciya
logical,ma'ana
long-lasting,dadewa
lovably,abin kauna
loveliness,soyayya
lover,masoyi
loves,yana kauna
low-cost,maras tsada
low-price,low-price
low-priced,mai rahusa
low-risk,ƙananan haɗari
lower-priced,mai rahusa
lucid,lucid
lucidly,zakaria
luckier,mafi sa'a
luckiest,mafi sa'a
luckiness,sa'a
lucrative,riba
luminous,luminous
lush,lush
luster,haske
lustrous,mai son sha'awa
luxuriant,na marmari
luxuriate,dadi
luxurious,na marmari
luxuriously,cikin annashuwa
luxury,alatu
lyrical,waƙa
magic,sihiri
magical,sihiri
magnanimous,girma
magnanimously,magnanancin
magnificence,girma
magnificent,m
magnificently,da girma
majestic,majestic
majesty,girma
manageable,sarrafawa
maneuverable,abin motsawa
marveled,yi mamakin
marvelled,yi mamakin
marvellous,ban mamaki
marvelously,da ban mamaki
marvelousness,al'ajabi
master,maigida
masterful,gwaninta
masterfully,masterfully
masters,masters
mastery,ƙwarewa
matchless,kwatankwacinsa
maturely,balaga
maturity,balaga
memorable,abin tunawa
merciful,mai jinƙai
mercifully,da rahama
merit,abin yabo
meritorious,abin yabo
merrily,cikin farin ciki
merriment,abin yabo
merriness,merriness
mesmerize,mai da hankali
mesmerized,merarfafawa
mesmerizes,mesmerizes
mesmerizing,mitar hankali
mesmerizingly,mesmerizingly
meticulous,mai yawan hankali
meticulously,da hankali
mightily,da karfi
mighty,mai girma
mind-blowing,hankali-hurawa
miracles,mu'ujizai
miraculous,banmamaki
miraculously,ta hanyar mu'ujiza
miraculousness,banmamaki
modern,zamani
modest,suna fadin
modesty,filako
momentous,muhimmanci
monumental,abin tunawa
monumentally,abin tunawa
morality,halin kirki
multi-purpose,Multi-manufa
navigable,Na'urar bincike
neat,m
neatest,mafi kyau
neatly,da kyau
nicely,da kyau
nicer,mafi kyau
nicest,mafi kyau
nimble,nimble
nobly,daraja
noiseless,ba amo
non-violence,ba tashin hankali
non-violent,ba tashin hankali
notably,musamman
noteworthy,abin lura
nourish,ciyar da abinci
nourishing,m
nourishment,abinci
novelty,sabon abu
nurturing,nurtarwa
oasis,zango
obsession,kamu da hankali
obsessions,shagaltarwa
obtainable,wanda za'a iya samu
openly,a bayyane
openness,budewa
optimal,mafi kyau duka
opulent,wadata
orderly,tsari
originality,asali
outdo,wucewa
outdone,wucewa
outperform,fiye da yadda aka saba
outperformed,aka fi sani
outperforming,sama da cikawa
outperforms,mafi kyau
outshine,fita waje
outshone,na waje
outsmart,waje
outstandingly,a tsaye
outstrip,wucewa
outwit,outwit
ovation,ovation
overtake,riske
overtaken,wucewa
overtakes,wucewa
overtaking,wucewa
overtook,ya riske
overture,wucewa
pain-free,mara zafi
painless,m
painlessly,ba tare da jin zafi ba
palatial,sarauta
pamper,lele
pampered,laulayi
pamperedly,cikin nutsuwa
pamperedness,ciwon mara
pampers,yan leken asiri
panoramic,panoramic
paramount,mafi muhimmanci
passion,sha'awar
passionately,cikin sha'awa
patience,haƙuri
patient,mai haƙuri
patiently,da haƙuri
patriot,mai kishin kasa
patriotic,mai kishin kasa
peaceable,mai son zaman lafiya
peacekeepers,sojojin kiyaye zaman lafiya
peach,peach
peerless,mara kyau
pep,pep
pepped,pepped
pepping,pepping
peppy,peppy
peps,peps
perfection,kamala
permissible,halatta
perseverance,jajircewa
persevere,ka dage
personages,kulawa
personalized,keɓaɓɓe
phenomenal,abin mamaki
phenomenally,abin mamaki
piety,taƙawa
pinnacle,pinnacle
playfully,wasa
pleasantly,da farin ciki
pleases,so
pleasing,m
pleasingly,da yarda
pleasurable,m
pleasurably,gamsarwa
plentiful,yalwatacce
pluses,ƙari
plush,ƙari
plusses,kari
poetic,waka
poeticize,rubutattun wakoki
poignant,mai zafi
poise,ji daɗi
poised,a shirye
polished,goge
polite,ladabi
politeness,ladabi
portable,šaukuwa
posh,posh
positives,tabbatacce
powerfully,da iko
praiseworthy,abin yabo
pre-eminent,pre-mashahuri
precious,mai daraja
precise,madaidaici
precisely,daidai
preeminent,fifiko
prefer,fi so
preferable,fin fin so
preferably,zai fi dacewa
prefered,aka fi so
preferes,fifita
preferring,fifikon
prefers,ya fi so
premier,firamare
prestige,martaba
prestigious,martaba
prettily,prettily
priceless,m
pride,girman kai
principled,mai ka'ida
privilege,gata
prize,kyauta
problem-free,ba matsala
problem-solver,mai warware matsala
prodigious,karin bayani
prodigiously,zakaria
prodigy,Karin bayani
productive,m
productively,mai amfani
proficient,gwaninta
proficiently,da gwaninta
profound,bayyananne
profoundly,bayyananne
profuse,wadatar
profusion,profusion
progressive,ci gaba
prolific,wadata
prominence,shahara
promising,alamar rahama
promoter,mai talla
prompt,da sauri
promptly,da sauri
proper,dace
properly,yadda ya kamata
propitious,mai ladabi
propitiously,propitiously
pros,ribobi
prosper,ci gaba
prosperity,wadata
prospros,prospros
protection,kariya
protective,m
proven,ya tabbatar
proves,ya tabbatar
providence,azurtawa
proving,tabbatar
prowess,ƙarfin hali
prudence,hankali
prudent,mai hankali
prudently,cikin hankali
punctual,a kan lokaci
pure,tsarkakakke
purify,tsarkakewa
purposeful,ma'ana
quaint,quaint
qualified,cancanta
qualify,cancanta
quicker,da sauri
quiet,shiru
quieter,ya fi shuru
radiance,annuri
radiant,annuri
rapid,m
rapport,yarjejeniya
rapt,fyaɗe
raptureous,fyaucewa
raptureously,fyaucewa
rapturously,syedayewa
rational,m
razor-sharp,reza-kaifi
reachable,za'a iya kaiwa
readable,wanda za'a iya karantawa
readily,a sauƙaƙe
ready,shirye
reaffirm,sake tabbatarwa
reaffirmation,sake tabbatarwa
realistic,idon basira
realizable,realizable
reasonable,mai hankali
reasonably,mai ma'ana
reasoned,dalili
reassurance,tabbaci
receptive,mai karɓa
reclaim,kwato
recomend,sakayya
recommendation,shawarwarin
recommendations,shawarwari
reconcile,sulhu
reconciliation,sulhu
record-setting,rikodin-saitin
recover,warke
recovery,dawowa
rectification,gyara
rectify,gyara
rectifying,gyara
redeem,fanshe
redeeming,fansa
redemption,fansa
refine,tata
refined,tace
refinement,tsaftacewa
reform,gyara
reformed,gyara
reforming,gyarawa
reforms,sake fasalin
refresh,shakatawa
refreshed,wartsake
refreshing,shakatawa
refund,maida
refunded,biya
regal,mulki
regally,rajista
regard,la'akari
rejoicingly,farin ciki
rejuvenate,sabuntawa
rejuvenated,sabuntawa
rejuvenating,sake sabuntawa
relent,juya baya
reliable,abin dogara
reliably,abin dogaro
relief,taimako
relish,murna
remarkably,yadda ya kamata
remedy,magani
remission,gafartawa
remunerate,biya
renaissance,farkawa
renewed,sabunta
renown,sananne
renowned,mashahuri
replaceable,maye gurbin
reputable,mutunci
reputation,suna
resilient,juriya
resound,sake amsawa
resounding,resounding
resourceful,m
resourcefulness,kayan aiki
respect,girmamawa
respectable,mai martaba
respectful,girmamawa
respectfully,cikin girmamawa
respite,jinkirta
resplendent,mai girma
responsibly,alhakin
restructure,sake fasali
restructured,sake fasalin
restructuring,sake gyarawa
retractable,retractable
revel,yi murna
revelation,wahayi
revere,girmamawa
reverence,girmamawa
reverent,girmamawa
reverently,girmamawa
revitalize,sake farfadowa
revival,Tarurrukan
revolutionary,mai neman sauyi
revolutionize,canzawa
revolutionized,canzawa
revolutionizes,canzawa
rewardingly,lada
richer,wadata
richly,da arziki
richness,arziki
right,dama
righten,daidaita
righteous,masu adalci
righteously,adalci
righteousness,adalci
rightful,mai gaskiya
rightfully,daidai
rightly,daidai
rightness,daidai
risk-free,rashin haɗari
rock-star,dutsen tauraruwa
rock-stars,taurari-taurari
rockstar,tauraron dutse
rockstars,duwatsu
romantic,na soyayya
romantically,soyayya
romanticize,soyayyar
roomier,mai daki
roomy,na ɗaki
rosy,Rosy
sagacity,sagacity
sagely,sagely
saint,waliyyi
saintliness,tsarkaka
saintly,tsarkakakke
salutary,salutary
salute,sallama
sane,mai hankali
satisfactorily,gamsarwa
satisfactory,gamsarwa
satisfies,gamsarwa
satisfy,gamsar
satisfying,gamsarwa
satisified,gamsu
saver,tanadin
savings,tanadi
savior,mai ceto
savvy,savvy
scenic,wasan kwaikwayo
seamless,sumul
seasoned,yaji
securely,amintacce
selective,mai zaɓe
self-determination,yanke hukunci kai
self-respect,girmama kai
self-satisfaction,gamsar da kai
self-sufficiency,wadatar kai
self-sufficient,wadatar kai
sensation,abin mamaki
sensational,abin mamaki
sensationally,abin ban sha'awa
sensations,majiyai
sensible,mai hankali
sensibly,hankali
sensitive,m
serenity,nutsuwa
sharp,kaifi
sharper,sharper
sharpest,kaifi
shimmering,shimmering
shimmeringly,shimmeringly
shine,haskaka
shiny,mai haske
silent,shiru
simpler,mafi sauki
simplest,mafi sauki
simplified,Saukake
simplifies,simplifies
simplify,sauƙaƙa
simplifying,sauƙaƙe
skill,fasaha
skilled,gwani
skillful,gwaninta
skillfully,da gwaninta
slammin,slammin
sleek,sumul
smartly,da wayo
smilingly,yana murmushi
smitten,cinyewa
smooth,santsi
smoother,mai santsi
smoothes,gyara
smoothest,mafi kyau
smoothly,sannu
snappy,mara kyau
snazzy,snazzy
sociable,m
soft,mai laushi
softer,laushi
solace,ta'aziyya
solicitous,mai hankali
solicitously,a hankali
soothingly,kwantar da hankali
soulful,mai son rai
soundly,lafiya
soundness,lafiya
spacious,fili
spectacular,na ban mamaki
spectacularly,na ban mamaki
speedily,da sauri
speedy,da sauri
spellbind,tabaru
spellbinding,maimaita rubutun
spellbindingly,karafamani
spellbound,haruffa
spiritual,na ruhaniya
splendidly,splendidly
splendor,ƙawa
spontaneous,maras wata-wata
sporty,na wasanni
spotless,tabo
stability,kwanciyar hankali
stabilize,dattako
stainless,bakin karfe
standout,tsayawa
state-of-the-art,na zamani
stately,mai mutunci
statuesque,mutum-mutumi
staunch,dagewa
staunchly,staunchly
staunchness,dagewa
steadfastly,cikin haƙuri
steadfastness,haƙuri
steadiest,steadiest
steadiness,kwatsam
steady,kwari
stellar,tauraruwa
stellarly,tauraruwa
stimulative,mai kara kuzari
stirringly,motsawa
straighten,daidaita
straightforward,madaidaiciya
streamlined,saukake
striking,karin
strikingly,karin
striving,ƙoƙari
stunned,mamaki
stunningly,da ban mamaki
stupendous,babba
stupendously,stupendously
sturdier,mai ƙarfi
sturdy,mai ƙarfi
stylish,mai salo
stylishly,mai salo
stylized,mai salo
suavely,suavely
sublime,daukaka
subsidize,ba da tallafi
subsidized,ba da tallafi
subsidizes,tallafi
subsidizing,tallafi
substantive,mahimmanci
succeed,yi nasara
succeeded,yi nasara
succeeding,cin nasara
succeeds,nasara
succes,yi nasara
successes,nasarori
successfully,cikin nasara
suffice,isa
sufficed,isa
suffices,isa
sufficient,isa
sufficiently,isasshe
suitable,dace
sumptuous,sumptuous
sumptuously,sumptuously
sumptuousness,summarcin
superbly,da kyau
superiority,fifiko
supple,supple
supremacy,daukaka
supreme,babba
supremely,babba
supurb,kari
supurbly,urbarin bayani
surmount,surmount
surpass,wuce
surreal,sallama
survival,rayuwa
sustainability,dorewa
sustainable,mai dorewa
swank,swank
swankier,swankier
swankiest,swankiest
swanky,swanky
sweeping,shara
sweeten,zaki
sweetheart,masoyi
sweetly,dadi
sweetness,zaƙi
swiftness,hanzari
talent,baiwa
talented,baiwa
talents,baiwa
tantalize,tantalize
tantalizing,tantalizing
tantalizingly,tantalizingly
tempt,riya
tempting,mai riya
temptingly,mai jarabawa
tenacious,m
tenaciously,farwaji
tenacity,ƙarfin hali
tenderly,mai taushi
terrifically,mai ban tsoro
thinner,siriri
thoughtfully,da tunani
thoughtfulness,tunani
thrift,arziki
thrifty,tanada
thrill,burgewa
thrilling,abin birgewa
thrillingly,cikin farin ciki
thrills,burgewa
thrive,bunƙasa
thriving,ci gaba
thumb-up,babban yatsa
thumbs-up,babban yatsu
tickle,cakulkuli
tidy,shirya
time-honored,lokaci-girmama
timely,a kan kari
tingle,tingle
titillate,titillate
titillating,titilla
titillatingly,tsautsayi
togetherness,kasancewa tare
tolerable,mai haƙuri
toll-free,kyauta
top-notch,saman-daraja
top-quality,mafi inganci
topnotch,gindi
tough,tauri
tougher,mafi wuya
toughest,mafi wuya
traction,gogayya
tranquility,kwanciyar hankali
transparent,m
tremendously,tremendously
trendy,yayi
triumphal,cin nasara
triumphantly,cikin nasara
trivially,mara kyau
trophy,ganima
trouble-free,ba matsala
trump,ƙaho
trumpet,ƙaho
trusting,dogara
trustingly,amintacce
trustworthiness,amana
trustworthy,amintacce
trusty,amintacce
truthful,mai gaskiya
truthfully,gaskiya
truthfulness,gaskiya
twinkly,lumshe ido
ultra-crisp,matsananci-kintsattse
unabashed,mara kunya
unabashedly,mara kunya
unaffected,ba a shafa ba
unassailable,wanda ba za a iya kashe shi ba
unbeatable,rashin nasara
unbound,mara iyaka
uncomplicated,rikitarwa
unconditional,ba sharadi
undamaged,mara lalacewa
undaunted,undaunted
understandable,fahimta
undisputable,ba gardama
undisputably,ba gardama
undisputed,ba gardama
unencumbered,bashi da nauyi
unequivocal,babu shakka
unequivocally,ba shakka
unfazed,ba damuwa
unfettered,ba a bayyana ba
unforgettable,wanda ba za'a iya mantawa dashi ba
unity,hadin kai
unlimited,mara iyaka
unparalleled,mara misaltuwa
unquestionable,babu shakka
unquestionably,babu shakka
unreal,ba gaskiya bane
unrestricted,mara iyaka
unrivaled,gasa
unselfish,mara son kai
unwavering,kasawa
upbeat,upbeat
upgradable,sabuntawa
upgradeable,inganci
upgraded,an inganta
upheld,tsayar
uphold,goyi bayan
uplift,daukaka
uplifting,daukakawa
upliftingly,upliftingly
upliftment,daukaka
upscale,caarfafawa
usable,mai amfani
useable,amfani
user-friendly,mai amfani
user-replaceable,Mai maye gurbin mai amfani
valiant,gwarzo
valiantly,gwarzo
valor,gwarzo
valuable,mai muhimmanci
variety,iri-iri
venerate,girmamawa
verifiable,tabbatacce
veritable,gaskiya
versatile,m
versatility,yawaita
vibrantly,vibrantly
victorious,nasara
victory,nasara
viewable,wanda za'a iya gani
vigilance,lura
virtue,nagarta
virtuously,virtuously
vivid,m
vouch,bauciya
vouchsafe,bawsafe
warmer,dumi
warmhearted,mai karimci
warmly,sosai
well,da kyau
well-backlit,kyau-haske
well-balanced,daidaitacce
well-behaved,da-kyau
well-being,walwala
well-bred,da kyau-bred
well-connected,haɗi sosai
well-educated,masu ilimi
well-established,tabbatacce
well-informed,sane sosai
well-intentioned,kyakkyawan niyya
well-known,sananne
well-made,da kyau
well-managed,kyakkyawan sarrafawa
well-mannered,mai ladabi
well-positioned,an daidaita shi sosai
well-received,an karɓa sosai
well-regarded,da-kyau
well-rounded,mai kyau
well-run,sannu-sannu
well-wishers,masu fatan alheri
wellbeing,zaman lafiya
whoa,waye
wholeheartedly,da zuciya ɗaya
wholesome,mai kyau
whooa,wanna
whoooa,waye
wieldy,mai karfi
willing,shirye
willingly,bisa yarda
windfall,faduwar iska
winnable,syeda
winners,masu nasara
wisdom,hikima
wise,hikima
wisely,cikin hikima
witty,mai hankali
wonder,yi mamaki
wonderfully,abin al'ajabi
wonderous,yalwar
wonderously,yanananna
wonders,abubuwan al'ajabi
wondrous,banmamaki
work,aiki
workable,mai iya aiki
worked,yi aiki
works,yana aiki
world-famous,sanannen duniya
worth-while,daraja-yayin
worthiness,cancanta
worthwhile,mai amfani
wowed,wawa
wowing,gyaɗawa
wows,alwashi
yay,yay
zeal,himma
zenith,zenith
zest,zest
zippy,zippy
abba,abba
abovementioned,an ambata
absolute,cikakke
absolution,warwarewa
academic,mai ilimi
academy,ilimi
acceptable,m
acceptance,yarda
accommodation,masauki
accompaniment,rakiyar
accord,yarjejeniya
accountability,hisabi
accountable,da lissafi
accredited,yarda
accueil,accueil
ace,ace
achieve,cimma
acknowledgment,amincewa
acquire,saya
acquiring,samu
acrobat,acrobat
action,aiki
actual,ainihin
acuity,acuity
adapt,daidaita
addresses,adiresoshin
adept,gwaninta
adequacy,wadata
adjunct,adjunct
admiral,Admiral
admissible,m
adoration,sujada
advance,ci gaba
advancement,ci gaba
advent,zuwan
advisable,shawara
advise,ba da shawara
adviser,mai ba da shawara
advocacy,ba da shawara
aesthetic,na ado
aesthetics,kayan ado
affiliated,alaƙa
affirmatively,tabbatacce
aga,aga
agreeing,yarda
agriculture,aikin gona
ahead,gaba
aid,taimako
aiding,taimako
alabaster,alabasta
alertness,jijjiga
alimentation,alimentation
allay,sauka
allegiance,biyayya
allegro,alliro
alleviate,sauƙaƙe
alleviation,ragewa
allied,kawance
allowable,halatta
allure,lallashi
ally,abokin tarayya
almighty,madaukaki
aloha,lafiya
ambassador,jakadiya
ambition,buri
amen,amin
amend,gyara
amends,gyara
amnesty,afuwa
amour,amour
analyst,manazarci
anchor,anga
anchorage,anga
animate,mai rai
animated,mai rai
antibiotics,maganin rigakafi
antidote,maganin guba
antifungal,antifungal
antique,tsoho
antiseptic,maganin antiseptik
aplomb,aplomb
apologetic,mai neman gafara
apologize,yi hakuri
apology,uzuri
apostle,manzo
approbation,yarda
approving,yarda
apt,dace
aptitude,iyawa
archaeology,ilmin kimiya na kayan tarihi
aristocracy,aristocracy
aristocratic,aristocratic
armed,dauke da makamai
armor,makamai
aroma,ƙanshi
arouse,tada
array,tsararru
art,fasaha
articulation,magana
artisan,mai sana'a
artiste,mawaƙi
artistic,m
ascendancy,hauhawa
ascent,hawan
aspiring,m
assembly,taro
assent,yarda
asserting,tabbatarwa
assist,taimaka
assistance,taimako
associate,abokin tarayya
assuage,assuage
assured,tabbatar
astrologer,masanin taurari
astronaut,dan sama jannati
astronomer,masanin taurari
astute,mai hankali
athlete,ɗan wasa
athletic,'yan wasa
atom,atom
atone,kafara
atonement,kaffara
attachment,abin da aka makala
attainable,samuwa
attainment,samu
attendant,mai hidima
attention,hankali
attest,shaida
attorney,lauya
attractiveness,sha'awa
augment,ƙara
august,august
aunt,inna
aura,aura
authenticity,sahihanci
author,marubuci
authorization,izini
authorized,izini
avatar,avatar
ay,ay
aye,iya
baby,jariri
baccalaureate,baccalaureate
balance,ma'auni
ballad,Ballad
ballet,yar rawa
ballot,kuri'a
balm,balm
balsam,balsam
banquet,liyafa
baptism,baftisma
baptismal,baftisma
bard,bard
basketball,kwando
bastion,bastion
bath,wanka
beam,katako
beaming,haske
beautification,ado
bedrock,gindin gado
beer,giya
befitting,dacewa
befriend,abota
believing,imani
benign,m
berth,kwanciya
betrothed,alkawari
betterment,kyautatawa
beverage,abin sha
biblical,Littafi Mai Tsarki
bilingual,mai harshe biyu
birth,haihuwa
birthday,ranar haihuwa
blessed,mai albarka
blessings,albarka
bloodless,marasa jini
boast,alfahari
bodyguard,mai gadi
boisterous,hayaniya
boldness,ƙarfin hali
bonanza,bonanza
bonne,bonne
bookish,littafi
bookshop,kantin sayar da littattafai
bookworm,littafin littafi
boon,boon
bounty,falala
bouquet,bouquet
brains,kwakwalwa
breakfast,karin kumallo
bridal,amarya
bride,amarya
bridegroom,ango
bridesmaid,amarya
brocade,dangi
brother,dan uwa
brotherhood,yan'uwantaka
buck,buk
buddy,aboki
build,gina
building,gini
bulldog,bulldog
bulletproof,harsasai
buoy,bugu
buss,buss
butler,mai shayarwa
buttery,man shanu
buxom,buxom
buzz,buzz
cab,taksi
cabinet,majalisar
cafe,cafe
calculator,kalkuleta
calf,maraƙi
canary,kanari
candid,m
candidate,dan takara
candied,candied
capitalist,dan jari hujja
captain,kyaftin
career,sana'a
caress,shafa
caretaker,mai kulawa
carol,carol
cascade,cascade
cash,tsabar kudi
categorical,na rarrabuwa
cater,shirya
cathartic,cathartic
cathedral,babban coci
cautious,m
cautiously,a hankali
celebrity,shahararre
celestial,na sama
center,tsakiya
centurion,jarumi
cerebral,kwakwalwa
ceremony,bikin
certainty,yaƙ .ni
chairman,shugaba
chairwoman,shugabar mata
chant,waƙa
charger,caja
charity,sadaka
charmed,fara'a
chastity,tsarki
chattering,hira
checklist,lissafin lissafi
cheerfulness,fara'a
chemist,likitanci
cherry,ceri
chieftain,shugaba
child,yaro
childhood,ƙuruciya
chirp,kururuwa
chisel,chisel
chocolate,cakulan
choice,zabi
choir,mawaƙa
choral,mawaƙa
chorus,mawaƙa
chosen,zaba
chowder,mahaukaci
chronicle,labari
chuckle,dariya
church,coci
cider,cider
circumcision,kaciya
circumvention,dawafi
citizen,ɗan ƙasa
civil,farar hula
civilization,wayewa
civilized,wayewa
clairvoyant,clairvoyant
clap,tafada
clarify,bayyana
classical,na gargajiya
classics,litattafan gargajiya
classify,rarrabasu
cleaning,tsaftacewa
cleanse,tsarkake
cleansing,tsarkakewa
clearance,yarda
clearness,tsabta
clerical,malami
cleverness,wayo
climax,ƙarshe
closeness,kusanci
closure,rufewa
clothe,sutura
clown,wawa
coalition,haɗin gwiwa
coast,bakin teku
coexist,zama tare
cogent,cogent
cognitive,fahimi
collectively,tare
colonel,kanar
colossal,babba
commandant,kwamanda
commanding,umarni
commemorate,tunawa
commemoration,tunawa
commemorative,abin tunawa
commentator,mai sharhi
commodore,commodore
commonwealth,gama gari
communicate,sadarwa
communicative,mai sadarwa
communion,tarayya
community,al'umma
commutation,canjawa
commute,tafiya
companion,aboki
compatibility,karfinsu
compelling,tursasawa
compensate,rama
compensatory,diyya
competence,iyawa
competency,iyawa
complacency,rashin gamsuwa
completely,gaba daya
completeness,cikawa
completing,kammalawa
completion,kammalawa
compliance,biyayya
complicity,haɗin kai
composed,hada
composer,mawaki
composure,nutsuwa
comprehend,fahimta
comrade,aboki
concentric,mai da hankali
conciliation,sulhu
concluding,kammalawa
concord,yarjejeniya
concordance,concordance
condolence,ta'aziyya
condone,yarda
conducive,mai kyau
conductivity,watsin aiki
confederate,hadaddiya
confess,furta
confirmed,tabbatar
conformance,dacewa
congregation,ikilisiya
congruence,daidaituwa
connoisseur,masani
conscience,lamiri
consciousness,sani
consecration,keɓewa
conservation,kiyayewa
conserve,kiyayewa
considerable,babba
consistency,daidaito
console,na'ura wasan bidiyo
consonant,baƙaƙe
constancy,daidaito
constant,akai
constitutional,tsarin mulki
construct,yi
contact,lamba
contemplation,tunani
content,abun ciki
continue,ci gaba
contour,kwane -kwane
contribute,ba da gudummawa
contributor,mai ba da gudummawa
convent,gidan zuhudu
convention,babban taro
conversant,mai tattaunawa
conversational,hira
convert,tuba
coolness,sanyin jiki
cooperate,hada kai
cooperating,hadin kai
cooperation,hadin kai
core,cibiya
coronation,nadin sarauta
corporation,kamfani
corporeal,jiki
corrective,gyara
correspondence,rubutu
corroborate,tabbatar
cosmopolitan,na duniya
cosy,jin dadi
council,majalisa
counsel,shawara
counselor,mai ba da shawara
count,ƙidaya
countess,ƙima
courtship,zawarci
cove,rufewa
cradle,shimfiɗar jariri
craft,sana'a
craftsman,mai sana'a
cream,kirim
create,ƙirƙiri
credential,takardun shaida
credibility,dogara
credit,daraja
creditable,mai daraja
credited,aka bashi
crescendo,crescendo
critique,suka
crowning,kambi
crucial,mahimmanci
crystal,lu'ulu'u
cuddle,rungume
culinary,dafuwa
culmination,ƙarshe
cultivate,noma
cultivated,horar da
cultivation,noman
culture,al'ada
cunning,wayo
curable,mai warkarwa
curiosity,son sani
curl,lanƙwasa
cushion,matashi
customer,abokin ciniki
cutters,masu yankewa
dame,dame
dance,rawa
daughter,'ya
deal,yarjejeniyar
debate,muhawara
declaratory,bayyanawa
dedication,sadaukarwa
defend,kare
defended,kare
defending,karewa
